GEOID,NAME,variable,estimate,moe,label,concept
37129,"New Hanover County, North Carolina",B19301F_001,10728,4574,Per capita income in the past 12 months (in 2018 inflation-adjusted dollars),Some Other Race Alone
37183,"Wake County, North Carolina",B19301F_001,17363,1998,Per capita income in the past 12 months (in 2018 inflation-adjusted dollars),Some Other Race Alone
45045,"Greenville County, South Carolina",B19301F_001,15325,3326,Per capita income in the past 12 months (in 2018 inflation-adjusted dollars),Some Other Race Alone
45083,"Spartanburg County, South Carolina",B19301F_001,14192,5442,Per capita income in the past 12 months (in 2018 inflation-adjusted dollars),Some Other Race Alone
47065,"Hamilton County, Tennessee",B19301F_001,18146,7652,Per capita income in the past 12 months (in 2018 inflation-adjusted dollars),Some Other Race Alone
37063,"Durham County, North Carolina",B19301G_001,26346,11685,Per capita income in the past 12 months (in 2018 inflation-adjusted dollars),Two Or More Races
37067,"Forsyth County, North Carolina",B19301G_001,11293,3402,Per capita income in the past 12 months (in 2018 inflation-adjusted dollars),Two Or More Races
37081,"Guilford County, North Carolina",B19301G_001,10625,2679,Per capita income in the past 12 months (in 2018 inflation-adjusted dollars),Two Or More Races
37119,"Mecklenburg County, North Carolina",B19301G_001,19473,4316,Per capita income in the past 12 months (in 2018 inflation-adjusted dollars),Two Or More Races
37129,"New Hanover County, North Carolina",B19301G_001,14411,4658,Per capita income in the past 12 months (in 2018 inflation-adjusted dollars),Two Or More Races
37183,"Wake County, North Carolina",B19301G_001,22399,4217,Per capita income in the past 12 months (in 2018 inflation-adjusted dollars),Two Or More Races
45045,"Greenville County, South Carolina",B19301G_001,12141,3254,Per capita income in the past 12 months (in 2018 inflation-adjusted dollars),Two Or More Races
45083,"Spartanburg County, South Carolina",B19301G_001,11469,3684,Per capita income in the past 12 months (in 2018 inflation-adjusted dollars),Two Or More Races
47065,"Hamilton County, Tennessee",B19301G_001,12416,3054,Per capita income in the past 12 months (in 2018 inflation-adjusted dollars),Two Or More Races
37063,"Durham County, North Carolina",B19301H_001,48037,2328,Per capita income in the past 12 months (in 2018 inflation-adjusted dollars),"White Alone, Not Hispanic Or Latino"
37067,"Forsyth County, North Carolina",B19301H_001,39803,1887,Per capita income in the past 12 months (in 2018 inflation-adjusted dollars),"White Alone, Not Hispanic Or Latino"
37081,"Guilford County, North Carolina",B19301H_001,42068,1886,Per capita income in the past 12 months (in 2018 inflation-adjusted dollars),"White Alone, Not Hispanic Or Latino"
37119,"Mecklenburg County, North Carolina",B19301H_001,53519,1624,Per capita income in the past 12 months (in 2018 inflation-adjusted dollars),"White Alone, Not Hispanic Or Latino"
37129,"New Hanover County, North Carolina",B19301H_001,36792,1925,Per capita income in the past 12 months (in 2018 inflation-adjusted dollars),"White Alone, Not Hispanic Or Latino"
37183,"Wake County, North Carolina",B19301H_001,49948,1438,Per capita income in the past 12 months (in 2018 inflation-adjusted dollars),"White Alone, Not Hispanic Or Latino"
45045,"Greenville County, South Carolina",B19301H_001,37032,1383,Per capita income in the past 12 months (in 2018 inflation-adjusted dollars),"White Alone, Not Hispanic Or Latino"
45083,"Spartanburg County, South Carolina",B19301H_001,29649,1465,Per capita income in the past 12 months (in 2018 inflation-adjusted dollars),"White Alone, Not Hispanic Or Latino"
47065,"Hamilton County, Tennessee",B19301H_001,38026,1506,Per capita income in the past 12 months (in 2018 inflation-adjusted dollars),"White Alone, Not Hispanic Or Latino"
37063,"Durham County, North Carolina",B19301I_001,14199,1724,Per capita income in the past 12 months (in 2018 inflation-adjusted dollars),Hispanic Or Latino
37067,"Forsyth County, North Carolina",B19301I_001,12564,1290,Per capita income in the past 12 months (in 2018 inflation-adjusted dollars),Hispanic Or Latino
37081,"Guilford County, North Carolina",B19301I_001,16256,2306,Per capita income in the past 12 months (in 2018 inflation-adjusted dollars),Hispanic Or Latino
37119,"Mecklenburg County, North Carolina",B19301I_001,18554,1410,Per capita income in the past 12 months (in 2018 inflation-adjusted dollars),Hispanic Or Latino
37129,"New Hanover County, North Carolina",B19301I_001,13633,4171,Per capita income in the past 12 months (in 2018 inflation-adjusted dollars),Hispanic Or Latino
37183,"Wake County, North Carolina",B19301I_001,19175,1442,Per capita income in the past 12 months (in 2018 inflation-adjusted dollars),Hispanic Or Latino
45045,"Greenville County, South Carolina",B19301I_001,15014,1691,Per capita income in the past 12 months (in 2018 inflation-adjusted dollars),Hispanic Or Latino
45083,"Spartanburg County, South Carolina",B19301I_001,17311,2881,Per capita income in the past 12 months (in 2018 inflation-adjusted dollars),Hispanic Or Latino
47065,"Hamilton County, Tennessee",B19301I_001,13810,2195,Per capita income in the past 12 months (in 2018 inflation-adjusted dollars),Hispanic Or Latino
